         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57816.547679 19.089302      NaN    24    20 c    0   2.44 186.44114 12.66357  8860.63  4143.06 3.83 3.44  88.5 -0.405    19.77 21.87 02a57816o0574c
57836.506100 19.351140      NaN   -30    22 c    0   3.55 186.44114 12.66357  6218.43  5984.38 3.82 3.65  84.3 -0.389    18.96 20.80 02a57836o0523c
57836.523043 18.978793      NaN    30    21 c    0   3.27 186.44114 12.66357  6198.93  5945.38 3.83 3.63  87.9 -0.392    18.93 20.72 02a57836o0554c
57836.538524 19.169763      NaN   -67    26 c    0   2.57 186.44114 12.66357  6256.19  6022.45 3.84 3.64  88.0 -0.392    18.86 20.64 02a57836o0582c
57836.575957 18.574166      NaN    30    35 c    0   1.90 186.44114 12.66357  6240.51  5961.27 4.15 3.95  84.9 -0.383    18.35 20.13 02a57836o0650c
57840.495204 18.623526      NaN    57    24 c    0   2.36 186.44114 12.66357  6430.15  5557.28 3.95 3.82  83.3 -0.379    18.94 20.84 02a57840o0505c
57840.512991 19.014394      NaN    24    22 c    0   2.75 186.44114 12.66357  6411.56  5520.60 3.81 3.62  85.2 -0.394    18.97 20.81 02a57840o0538c
57840.538546 19.183773      NaN     5    24 c    0   2.41 186.44114 12.66357  6487.57  5596.79 3.77 3.55  87.9 -0.399    18.94 20.71 02a57840o0586c
57840.540112 19.302877      NaN   -51    23 c    0   2.38 186.44114 12.66357  6506.26  5480.68 3.75 3.52  88.1 -0.400    18.95 20.70 02a57840o0589c
57844.477299 18.558199      NaN    65    24 c    0   2.84 186.44114 12.66357  8533.25  5689.32 3.83 3.48 -87.0 -0.421    19.62 21.61 02a57844o0466c
57844.483034 19.256669      NaN   -38    24 c    0   2.26 186.44114 12.66357  8515.77  5649.47 3.74 3.38 -85.9 -0.429    19.63 21.60 02a57844o0477c
57844.503795 19.002397      NaN    28    21 c    0   2.57 186.44114 12.66357  8574.08  5726.22 3.90 3.57 -85.4 -0.414    19.57 21.57 02a57844o0517c
57844.524943 19.256669      NaN  -107    24 c    0   2.20 186.44114 12.66357  8592.83  5609.47 3.84 3.50 -88.7 -0.418    19.56 21.49 02a57844o0556c
57844.525978 19.302877      NaN     0    23 c    0   2.34 186.44114 12.66357  8553.70  5667.16 3.79 3.41 -88.0 -0.426    19.56 21.48 02a57844o0558c
57868.491248 16.437557      NaN  -280   322 c    0   1.08 186.44114 12.66357  7170.85  3783.35 3.10 2.69  26.1 -0.450    15.95 16.87 02a57868o0287c
57868.504432 19.696897      NaN   -39    16 c    0   2.96 186.44114 12.66357  7226.08  3862.36 3.26 2.87  28.5 -0.432    18.96 20.02 02a57868o0312c
57868.517543 19.454622      NaN   -42    20 c    0   1.93 186.44114 12.66357  7244.41  3747.23 3.22 2.75  24.6 -0.428    19.07 20.05 02a57868o0337c
57868.531199 19.351140      NaN   -43    22 c    0   1.96 186.44114 12.66357  7207.44  3804.73 3.51 3.07  28.6 -0.420    18.93 19.99 02a57868o0363c
57869.509492 18.990530      NaN    35    19 c    0   1.80 186.44114 12.66357  6552.79  6660.72 2.77 2.64  18.4 -0.465    19.25 20.39 02a57869o0331c
57869.523777 19.631075      NaN    -3    17 c    0   2.39 186.44114 12.66357  6533.98  6622.09 2.75 2.59  19.8 -0.470    19.18 20.25 02a57869o0358c
57869.538675 19.569016      NaN   -29    18 c    0   2.24 186.44114 12.66357  6591.44  6700.97 2.79 2.66  17.4 -0.472    19.07 20.11 02a57869o0386c
57869.553529 19.334813 0.291690    67    18 c    0   2.50 186.44114 12.66357  6610.99  6586.83 3.07 2.95  14.8 -0.444    18.88 19.97 02a57869o0414c
57896.370213 19.841877      NaN   -59    14 c    0   3.97 186.44114 12.66357  8760.63  5333.33 3.78 3.53  68.2 -0.421    19.43 21.46 02a57896o0198c
57900.377593 19.766969      NaN   -10    15 c    0   1.93 186.44114 12.66357  7467.54  4586.13 2.93 2.40  52.1 -0.461    19.62 21.33 02a57900o0249c
57900.411878 19.841877      NaN   -50    14 c    0   2.33 186.44114 12.66357  7550.93  4544.50 2.89 2.45  45.3 -0.459    19.59 21.23 02a57900o0312c
57900.429320 19.922338      NaN   -14    13 c    0   2.97 186.44114 12.66357  7512.30  4602.66 2.89 2.47  43.7 -0.453    19.55 21.14 02a57900o0345c
