         MJD         m       dm      uJy   duJy F  err    chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57806.612514 18.786693      NaN      -67     37 o    0     1.83 186.4363 12.66357  2868.00  4708.71  4.39  4.11 -78.0 -0.536    18.80 20.60 01a57806o0775o
57806.626380 18.847027      NaN      -42     35 o    0     2.17 186.4363 12.66357  2889.49  4746.67  4.39  4.12 -78.9 -0.535    18.78 20.57 01a57806o0802o
57806.640082 18.729535      NaN     -108     39 o    0     1.71 186.4363 12.66357  2832.18  4669.47  4.41  4.14 -79.7 -0.518    18.77 20.55 01a57806o0829o
57806.653942 18.598565      NaN     -105     44 o    0     1.65 186.4363 12.66357  2813.55  4784.92  4.57  4.38 -79.0 -0.531    18.62 20.38 01a57806o0856o
57808.622139 18.757738      NaN     -134     38 o    0     1.90 186.4363 12.66357  1840.60  4191.29  4.94  4.60 -79.3 -0.488    18.75 20.74 01a57808o0695o
57808.635526 18.757738      NaN      -61     38 o    0     2.21 186.4363 12.66357  1784.43  4113.67  4.85  4.53 -83.9 -0.490    18.77 20.72 01a57808o0721o
57808.649358 18.598565      NaN     -506     44 o    0     2.19 186.4363 12.66357  1766.67  4228.59  4.91  4.53 -83.7 -0.490    18.67 20.57 01a57808o0748o
57816.582158 18.978793      NaN      -65     31 o    0     1.38 186.4363 12.66357  4732.25  5532.15  3.51  3.36 -68.1 -0.474    19.23 21.28 01a57816o0717o
57816.596386 18.816441      NaN       18     30 o    0     1.70 186.4363 12.66357  4752.02  5571.01  3.40  3.25 -67.7 -0.482    19.25 21.27 01a57816o0745o
57816.611089 18.910912      NaN      -44     33 o    0     1.30 186.4363 12.66357  4694.60  5493.77  3.42  3.22 -69.4 -0.473    19.23 21.22 01a57816o0774o
57816.625152 19.014394      NaN      -43     30 o    0     1.94 186.4363 12.66357  4677.77  5609.20  3.62  3.41 -70.7 -0.470    19.17 21.21 01a57816o0802o
57818.575974 18.729535      NaN      -73     39 o    0     1.29 186.4363 12.66357  4703.68  4819.26  4.13  3.73 -57.2 -0.456    19.18 21.39 01a57818o0710o
57818.590204 18.910912      NaN      -34     33 o    0     1.54 186.4363 12.66357  4724.23  4857.79  4.03  3.67 -51.3 -0.463    19.18 21.37 01a57818o0738o
57818.604888 18.757738      NaN      -68     38 o    0     1.33 186.4363 12.66357  4668.09  4780.89  4.07  3.74 -51.4 -0.474    19.09 21.25 01a57818o0767o
