         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57808.635526 18.649074      NaN      -34     42 o    0    2.25 186.44598 12.66357  1802.82  4113.57  4.84  4.53 -83.8 -0.490    18.77 20.72 01a57808o0721o
57808.649358 18.598565      NaN    -1031     44 o    0    5.52 186.44598 12.66357  1785.06  4228.50  4.90  4.53 -83.6 -0.490    18.67 20.57 01a57808o0748o
57816.582158 19.169763      NaN      -90     26 o    0    4.57 186.44598 12.66357  4750.50  5531.91  3.51  3.36 -67.9 -0.474    19.23 21.28 01a57816o0717o
57816.596386 18.878500      NaN      -78     34 o    0    3.06 186.44598 12.66357  4770.27  5570.77  3.39  3.25 -67.5 -0.482    19.25 21.27 01a57816o0745o
57816.611089 18.944322      NaN     -129     32 o    0    3.91 186.44598 12.66357  4712.85  5493.53  3.42  3.22 -69.2 -0.473    19.23 21.22 01a57816o0774o
57816.625152 18.878500      NaN      -79     34 o    0    2.78 186.44598 12.66357  4696.02  5608.97  3.62  3.41 -70.5 -0.470    19.17 21.21 01a57816o0802o
57818.575974 18.816441      NaN     -398     36 o    0    3.19 186.44598 12.66357  4721.93  4819.02  4.13  3.73 -57.1 -0.456    19.18 21.39 01a57818o0710o
57818.590204 19.014394      NaN     -200     30 o    0    3.04 186.44598 12.66357  4742.48  4857.56  4.03  3.67 -51.2 -0.463    19.18 21.37 01a57818o0738o
57818.604888 18.847027      NaN     -297     35 o    0    2.83 186.44598 12.66357  4686.34  4780.66  4.07  3.74 -51.4 -0.473    19.09 21.25 01a57818o0767o
57818.618446 18.729535      NaN     -141     39 o    0    2.90 186.44598 12.66357  4668.14  4896.05  4.14  3.80 -45.8 -0.476    19.05 21.21 01a57818o0794o
57820.551535 17.675104      NaN      -90    103 o    0    1.48 186.44598 12.66357  2744.07  5228.83  3.85  3.58 -77.0 -0.505    17.60 18.62 01a57820o0684o
57820.579730 17.381362      NaN     -128    135 o    0    2.09 186.44598 12.66357  2706.84  5190.01  4.22  3.84 -76.2 -0.469    17.54 19.49 01a57820o0740o
57820.593717 16.350133      NaN    -3658    349 o    0    6.34 186.44598 12.66357  2689.65  5305.63  4.21  3.87 -79.5 -0.528    16.78 18.74 01a57820o0768o
57828.527454 18.459772      NaN     -170     50 o    0    2.47 186.44598 12.66357  6733.07  7228.04  3.59  3.30  88.8 -0.453    18.17 19.02 02a57828o0584o
57828.541809 18.526952      NaN     -107     47 o    0    2.49 186.44598 12.66357  4639.60  5592.38  3.80  3.43 -60.0 -0.461    18.49 19.82 01a57828o0645o
57828.543880 18.336727      NaN      -58     56 o    0    3.76 186.44598 12.66357  6715.98  7189.62  3.54  3.26 -88.8 -0.460    18.17 19.00 02a57828o0614o
57828.555363 18.459772      NaN     -100     50 o    0    2.18 186.44598 12.66357  4660.41  5631.53  3.67  3.33 -53.2 -0.476    18.49 19.76 01a57828o0672o
57828.560786 18.396507      NaN      -86     53 o    0    3.30 186.44598 12.66357  6776.31  7266.64  3.60  3.34  89.9 -0.449    18.12 18.96 02a57828o0645o
57828.568879 18.574166      NaN      -74     45 o    0    2.86 186.44598 12.66357  4601.62  5554.46  3.92  3.58 -53.7 -0.450    18.42 19.74 01a57828o0699o
57828.574857 18.336727      NaN     -211     56 o    0    3.57 186.44598 12.66357  6795.72  7149.58  3.64  3.35 -88.9 -0.446    18.10 18.94 02a57828o0670o
57828.582351 18.261819      NaN     -278     60 o    0    2.32 186.44598 12.66357  4583.96  5670.28  4.16  3.76 -56.9 -0.441    18.31 19.63 01a57828o0726o
57828.592795 18.208845      NaN     -138     63 o    0    3.34 186.44598 12.66357  6760.52  7205.28  3.84  3.58 -89.9 -0.424    18.00 18.87 02a57828o0707o
57830.537540 18.675237      NaN     -115     41 o    0    2.96 186.44598 12.66357  3408.20  3925.30  3.72  3.29 -81.2 -0.465    18.80 20.34 01a57830o0629o
57830.551610 18.675237      NaN      -86     41 o    0    2.16 186.44598 12.66357  3429.62  3963.87  3.73  3.29 -75.9 -0.461    18.77 20.30 01a57830o0657o
57830.565114 18.191747      NaN     -216     64 o    0    1.38 186.44598 12.66357  3370.80  3886.95  3.77  3.26 -77.6 -0.471    18.76 20.25 01a57830o0684o
57830.579164 18.649074      NaN     -244     42 o    0    2.68 186.44598 12.66357  3353.49  4001.65  3.91  3.37 -76.9 -0.471    18.70 20.19 01a57830o0712o
57832.516573 19.089302      NaN       -1     28 o    0    4.11 186.44598 12.66357  9356.41  7236.39  3.49  3.00 -75.2 -0.432    18.63 19.93 02a57832o0567o
57832.518520 18.757738      NaN      -69     38 o    0    2.78 186.44598 12.66357  2311.33  5562.58  3.83  3.46 -86.4 -0.474    19.01 20.75 01a57832o0600o
57832.533020 18.729535      NaN     -229     39 o    0    4.74 186.44598 12.66357  2332.91  5600.42  4.01  3.59 -84.9 -0.462    18.97 20.71 01a57832o0629o
57832.533953 19.051202      NaN      -26     29 o    0    4.39 186.44598 12.66357  9336.71  7196.64  3.55  3.04 -78.2 -0.428    18.60 19.89 02a57832o0598o
57832.547521 18.504094      NaN     -261     48 o    0    2.46 186.44598 12.66357  2275.76  5523.41  4.17  3.72 -86.1 -0.513    18.91 20.66 01a57832o0658o
57832.551345 18.944322      NaN      -45     32 o    0    4.86 186.44598 12.66357  9395.00  7274.04  3.46  2.94 -78.2 -0.437    18.61 19.86 02a57832o0630o
57832.561955 18.675237      NaN     -263     41 o    0    4.28 186.44598 12.66357  2258.19  5639.27  4.19  3.73 -85.2 -0.460    18.93 20.65 01a57832o0687o
57832.571997 18.757738      NaN     -196     38 o    0    2.95 186.44598 12.66357  9416.67  7156.25  3.67  3.53 -71.6 -0.468    18.47 19.78 02a57832o0669o
57833.519973 18.786693      NaN     -310     37 o    0    5.82 186.44598 12.66357  1587.91  3067.18  4.17  3.31 -84.7 -0.501    19.05 20.76 01a57833o0604o
57833.534562 18.702047      NaN     -275     40 o    0    3.69 186.44598 12.66357  1609.62  3105.29  4.20  3.37 -84.3 -0.508    19.01 20.72 01a57833o0633o
57833.549108 18.550302      NaN     -314     46 o    0    2.81 186.44598 12.66357  1553.26  3027.28  4.24  3.41 -85.1 -0.508    19.01 20.71 01a57833o0662o
57833.563598 18.598565      NaN     -394     44 o    0    3.06 186.44598 12.66357  1535.93  3143.68  4.42  3.59 -84.4 -0.488    18.96 20.65 01a57833o0691o
57834.517830 18.675237      NaN     -297     41 o    0    2.90 186.44598 12.66357  1945.59  3841.18  4.08  3.47 -83.4 -0.485    19.13 21.05 01a57834o0451o
57834.532893 18.816441      NaN      -73     36 o    0    2.26 186.44598 12.66357  1966.44  3877.99  4.29  3.53 -83.5 -0.490    19.09 20.96 01a57834o0481o
57834.547425 18.729535      NaN     -210     39 o    0    3.06 186.44598 12.66357  1910.32  3800.61  4.31  3.60 -83.2 -0.504    19.06 20.88 01a57834o0510o
57834.562089 18.757738      NaN     -167     38 o    0    2.43 186.44598 12.66357  1893.87  3916.21  4.44  3.74 -85.0 -0.508    19.01 20.85 01a57834o0539o
57837.506993 18.702047      NaN     -524     40 o    0    3.95 186.44598 12.66357  1100.06  4485.52  5.01  4.13  87.3 -0.437    19.02 20.95 01a57837o0416o
57837.522139 18.526952      NaN     -350     47 o    0    3.12 186.44598 12.66357  1120.99  4523.35  4.84  4.01  85.6 -0.430    19.12 21.09 01a57837o0445o
57837.536217 18.675237      NaN     -316     41 o    0    2.85 186.44598 12.66357  1063.43  4445.77  4.90  4.12  85.6 -0.402    19.09 21.03 01a57837o0472o
